strategy,train_noise,eval_noise,eval_set,case,mean,ci_lo,ci_hi,n_ep
l1l4_baseline,0.01,0.0,lvl_1_5,all,0.68,0.624,0.736,250
l1l4_baseline,0.01,0.01,lvl_1_5,all,0.668,0.608,0.728,250
l1l4_baseline,0.01,0.03,lvl_1_5,all,0.7,0.644,0.756,250
naive_random,0.01,0.0,lvl_1_5,all,0.356,0.296,0.416,250
naive_random,0.01,0.01,lvl_1_5,all,0.372,0.312,0.432,250
naive_random,0.01,0.03,lvl_1_5,all,0.356,0.296,0.416,250
ours_l1l5_solverl5,0.01,0.0,lvl_1_5,all,0.572,0.512,0.632,250
ours_l1l5_solverl5,0.01,0.01,lvl_1_5,all,0.632,0.572,0.688,250
ours_l1l5_solverl5,0.01,0.03,lvl_1_5,all,0.64,0.58,0.696,250
random_bresenham,0.01,0.0,lvl_1_5,all,0.764,0.712,0.816,250
random_bresenham,0.01,0.01,lvl_1_5,all,0.82,0.772,0.864,250
random_bresenham,0.01,0.03,lvl_1_5,all,0.808,0.76,0.856,250
